AMP ID,Project Title,Status,Donor,District,City
8.72381E+11,"TFD-10/NEP/003: Improving nutritional status of children by demonstrating kitchen garden model in schools and its vicinity, Palpa",On-Going,Food and Agriculture Organization,Rupandehi,Bhairahawa
87238111554,51-11444001-KAT (Education) Improving literacy for sustainable development with particular focus on women and disadvantaged groups within the framework of LIFE,,,,
87238111555,51-12400015-KAT (Education) Support Nat effort for assessing secondary education policy in light of School Sector Reform Prog (SSRP),,,,
8723892512,"Village Development for Kavrepalanchok, Sindhupalchok and Makawanpur districts",Completed,Japan International Cooperation Agency,Kavrepalanchok,Dhulikhel
8723892512,"Village Development for Kavrepalanchok, Sindhupalchok and Makawanpur districts",Completed,Japan International Cooperation Agency,Makwanpur,Hetauda
8723892512,"Village Development for Kavrepalanchok, Sindhupalchok and Makawanpur districts",Completed,Japan International Cooperation Agency,Sindhupalchok,Chautara
87238111556,51-12409016-KAT (Education) Supporting national efforts to improve policies for achieving quality basic education for all,,,,
87238111557,51-13443003-KAT (Education) Supporting national efforts for integrating education for sustainable development in a sector wide framework,,,,
87238111558,"51-13444001-KAT (Education) Enhancing policy, planning and monitoring for achieving the goals of EFA in the context of School Sector Reform (SSR) and federalism",,,,
87238111561,"55-11140028-KAT (Communication & Information) Developing free, independent and pluralistic media based on MDIs",,,,
87238111562,55-11340016-KAT (Communication & Information) Foster editorial independence and quality programming in community media and public service broadcasting,,,,
87238111563,"55-21100027-KAT (Communication & Information) Developing free, independent and pluralistic media based on MDIs",,,,
87238111564,55-22404028-KAT (Communication & Information) Developing strategies for using ICTs in knowledge acquisition and sharing,,,,
87238111565,552 NEP 1002 (ExB - Education) JFIT Literacy Project - Phase 2,,,,
87238111566,207 NEP 1000 (ExB - Education) HIV and AIDS education through community learning centres (CLCs) among illiterate women in the mid- and far-west regions of Nepal,,,,
87238983365,Support to Election Commission,,,,
87238983368,International Protection and Assistance to the Refugees from Bhutan in the Camps in Eastern Nepal (CTR 281601),,,,
87238983366,Electoral education at grassroots and district levels for democratic governance (CTR,,,,
87238983367,Electoral education and observation,,,,
8.72382E+11,Building Local Democracy (BLD),New,Action Aid International Nepal,Banke,Nepalgunj
8.72382E+11,Building Local Democracy (BLD),New,Action Aid International Nepal,Bara,Kalaiya
8.72382E+11,Building Local Democracy (BLD),New,Action Aid International Nepal,Doti,Dipayal
8.72382E+11,Building Local Democracy (BLD),New,Action Aid International Nepal,Kailali,Dhangadhi
8.72382E+11,Building Local Democracy (BLD),New,Action Aid International Nepal,Kapilvastu,Taulihawa
8.72382E+11,Building Local Democracy (BLD),New,Action Aid International Nepal,Nawalparasi,Parasi
8.72382E+11,Building Local Democracy (BLD),New,Action Aid International Nepal,Palpa,Tansen
8.72382E+11,Building Local Democracy (BLD),New,Action Aid International Nepal,Udayapur,Gaighat
8723898853,Support to Institutionalizing the Nepal Food Security Monitoring and Analysis System,pipeline,European Union,Achham,Mangalsen
8723898853,Support to Institutionalizing the Nepal Food Security Monitoring and Analysis System,pipeline,European Union,Arghakhanchi,Sandhikharka
